"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed","Alias","Assignee Real Name","Hardware","Keywords","Number of Comments","Opened","OS","Priority","Reporter","Reporter Real Name","Severity","Version","Target Milestone","Tags","URL"
7480,"Apache httpd-1.3","Other","bugs","CLOSED","INVALID","Bug in apache error log","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,4,"2002-03-26 11:33:11","Linux","P3","khan438","Alamgir Khan","minor","1.3.23","---",,"http://www.eurotax.com"
7483,"Apache httpd-2","mod_actions","bugs","RESOLVED","WONTFIX","Add FileAction directive to assign a cgi interpreter other than using registry or shebang?","2015-12-28 11:02:00",,"Apache HTTPD Bugs Mailing List","All",,10,"2002-03-26 13:12:31","All","P3","netdemon","Brian Bober","enhancement","2.0-HEAD","---",,
7486,"Apache httpd-1.3","Other mods","bugs","CLOSED","WONTFIX","Don't like design of content negotiation and browser ""Accepts""","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-03-26 16:13:19","All","P3","higonnet","Bernard Higonnet","normal","1.3.23","---",,
7492,"Apache httpd-1.3","mod_rewrite","bugs","CLOSED","FIXED","Rewritemap mismerges paths (c:/ not recognized as rooted)","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,14,"2002-03-26 17:55:12","All","P3","yuriy.ryabikov","Yuriy Ryabikov","major","1.3.27","---",,
7495,"Apache httpd-1.3","Other mods","bugs","CLOSED","INVALID","mod_auth_ldap confused by references in ldap database","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-03-26 18:54:42","Linux","P3","cwg-apache","Chris Garrigues","normal","1.3.23","---",,
7503,"Apache httpd-1.3","Other","bugs","CLOSED","INVALID","Install problem with --enable-module=most / error in README.configure","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,4,"2002-03-26 23:50:51","Linux","P3","reo","Reo Fuxfell","normal","1.3.24","---",,
7513,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","INVALID","Proxy not downgrading responses for HTTP/1.0 clients","2005-08-29 15:22:45",,"Apache HTTPD Bugs Mailing List","Other",,21,"2002-03-27 14:39:34","other","P3","jorton","Joe Orton","normal","1.3.26","---",,"http://www.xanga.com"
7523,"Apache httpd-2","Other Modules","bugs","CLOSED","WORKSFORME","build error: shlibtool error when compiling shared modules, bad -rpath value","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Other",,6,"2002-03-27 17:20:50","other","P3","tgerkSF","Tim Gerk","normal","2.0.32","---",,
7572,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","FIXED","mod_proxy does not reset timer when reading from client","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,3,"2002-03-28 12:21:46","Linux","P3","brian.bothwell","Brian Bothwell","critical","1.3.24","---",,
7604,"Apache httpd-1.3","Other mods","bugs","CLOSED","INVALID","serving gzipped static html, download file bug with IE","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-03-29 14:23:16","Linux","P3","jon2","Jon Spewak","normal","1.3.23","---",,"http://hot-deals.org"
7617,"Apache httpd-2","mod_cgi","bugs","CLOSED","FIXED","Apache race condition causes gratuitous 3-second CGI delay","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,11,"2002-03-29 19:58:37","Linux","P3","andrew","Andrew Ho","normal","2.0.43","---",,
7628,"Apache httpd-1.3","Other","bugs","CLOSED","FIXED","daemontools patch no longer applies cleanly to 1.3.24","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-03-30 00:40:48","FreeBSD","P3","jos","Jos Backus","enhancement","1.3.24","---",,"http://www.catnook.com/patches/apache-1.3.24-daemontools.patch"
7635,"Apache httpd-2","Core","bugs","CLOSED","DUPLICATE","httpd segfaults when restarting after adding a virtual host","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Sun",,6,"2002-03-30 17:34:00","Solaris","P3","dnewman","David F. Newman","major","2.0.36","---",,
7642,"Apache httpd-2","All","bugs","CLOSED","FIXED","getnameinfo() not found when lookup on 127.0.0.1 fails","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Other",,9,"2002-03-31 13:21:11","other","P3","dawszy","Dawid Szymanski","major","2.0.32","---",,
7647,"Apache httpd-1.3","mod_autoindex","bugs","CLOSED","WONTFIX","add style sheets to served pages both SSI and autoDirectory","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Other",,2,"2002-03-31 21:08:49","All","P3","robertsearle","Robert Searle","enhancement","HEAD","---",,
7649,"Apache httpd-1.3","core","bugs","CLOSED","INVALID","virtual host","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Other",,3,"2002-04-01 02:22:03","other","P3","cn_liqy","liqy","normal","1.3.23","---",,
7650,"Apache httpd-1.3","core","bugs","CLOSED","DUPLICATE","virtual host","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","Other",,2,"2002-04-01 02:24:10","other","P3","cn_liqy","liqy","normal","1.3.23","---",,
7677,"Apache httpd-1.3","mod_log_config","bugs","CLOSED","INVALID","Invalid host names still appearing in logs","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,5,"2002-04-02 01:43:06","All","P3","admin","David Ball","normal","1.3.24","---",,"http://www.ChelseaData.ca"
7680,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","INVALID","mod_proxy returns additional 100 Continue header","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","All",,1,"2002-04-02 06:25:26","other","P3","fenn_b","Fenn Bailey","normal","1.3.24","---",,
7699,"Apache httpd-2","All","bugs","CLOSED","FIXED","SSI's only work when directly linked.","2004-11-16 19:05:38",,"Apache HTTPD Bugs Mailing List","PC",,3,"2002-04-02 23:22:49","FreeBSD","P3","phar0e","Scott Clark","normal","2.0.32","---",,
7708,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","DUPLICATE","mod_proxy invalid HTTP version translation","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,2,"2002-04-03 07:07:13","other","P3","fenn_b","Fenn Bailey","normal","1.3.24","---",,
7709,"Apache httpd-1.3","Other","bugs","CLOSED","INVALID","HeaderName does not work anymore","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,6,"2002-04-03 07:40:42","other","P3","apache","Ken","normal","1.3.23","---",,
7738,"Apache httpd-2","Other Modules","bugs","CLOSED","DUPLICATE","Server-side includes do not get interpreted for DirectoryIndex files","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,2,"2002-04-04 02:43:04","Solaris","P3","ryep","Ray Yep II","normal","2.0.32","---",,
7741,"Apache httpd-2","Documentation","docs","RESOLVED","FIXED","some directives may be placed outside of proper context without causing an error","2010-10-29 10:53:16",,"HTTP Server Documentation List","Other",,8,"2002-04-04 12:50:16","other","P3","AMIRK","Amir Khosravizadeh","minor","2.0-HEAD","---",,"http://http://httpd.apache.org/docs/mod/core.html#limitrequestbody etc"
7748,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","DUPLICATE","only last cookie is sent to the client","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,2,"2002-04-04 21:05:34","Linux","P3","ostapov","Alex Ostapov","major","1.3.24","---",,
7764,"Apache httpd-2","support","bugs","CLOSED","FIXED","tmpnam is dangerous","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,5,"2002-04-05 13:42:47","Linux","P3","ranier","Ranier Vilela Fonseca","minor","2.0.32","---",,
7768,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","VirtualHost does not match when trailing dot included on hostname in 2.0","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,7,"2002-04-05 15:05:45","All","P3","evrim","Evrim ULU","normal","2.0.32","---",,"http://www.packetfactory.net./"
7774,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","make install error / wrong link","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-04-05 19:45:46","Linux","P3","sebastian.wolfgarten","Sebastian Wolfgarten","normal","2.0.32","---",,"http://www.wolfgarten.com"
7786,"Apache httpd-2","Other Modules","bugs","CLOSED","FIXED","ScriptInterpreterSource with non-ASCII command path/filenames broken","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,15,"2002-04-06 07:04:19","Windows XP","P3","asiloti","Steven","normal","2.0.39","---",,
7790,"Apache httpd-2","Build","bugs","CLOSED","FIXED","Blank top_builddir prevents installation of APR","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,4,"2002-04-06 12:54:05","Linux","P3","sebastian.wolfgarten","Sebastian Wolfgarten","normal","2.0.35","---",,"http://www.wolfgarten.com"
7791,"Apache httpd-2","mod_suexec","bugs","CLOSED","FIXED","mod_suexec problem","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,5,"2002-04-06 13:03:56","Linux","P3","oles","octave klaba","normal","2.0.35","---",,"http://ping.ovh.net/traceroute_1.3.24.cgi"
7792,"Apache httpd-2","All","bugs","CLOSED","INVALID","custom config.layout escaping","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,5,"2002-04-06 13:24:36","Solaris","P3","js","Jeroen Scheerder","blocker","2.0-HEAD","---",,
7795,"Apache httpd-2","mod_mime","bugs","CLOSED","FIXED","Support XHTML media type (RFC 3236) in default install","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,4,"2002-04-06 16:16:14","All","P3","dmh","Dave Hodder","normal","2.0.35","---",,
7796,"Apache httpd-1.3","Build","bugs","CLOSED","FIXED","Support XHTML media type (RFC 3236) in default install","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,4,"2002-04-06 16:20:28","All","P3","dmh","Dave Hodder","normal","1.3.26","---",,
7798,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","apachectl stop leaves processes running on OpenBSD 3.0","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,3,"2002-04-06 17:47:48","other","P3","lippard","Jim Lippard","normal","2.0.35","---",,
7802,"Apache httpd-2","Other Modules","bugs","CLOSED","FIXED","mod_ssl - ssl_engine_kernel.c won't compile","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-04-06 22:37:45","Linux","P3","margol","Issac Goldstand","normal","2.0.35","---",,
7803,"Apache httpd-2","Build","bugs","CLOSED","FIXED","make install root= from apache 1.3 doesn't work in 2.0.35","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,7,"2002-04-06 23:50:36","All","P3","matthew","Matthew Darwin","enhancement","2.0.35","---",,
7804,"Apache httpd-2","mpm_perchild","bugs","CLOSED","WONTFIX","MPM perchild fail on start  (Unable to find process with matching uid/gid)","2004-12-23 15:05:13",,"Apache HTTPD Bugs Mailing List","PC",,7,"2002-04-07 01:04:30","FreeBSD","P3","maxes2","Kozin Maxim V.","critical","2.0.35","---",,
7810,"Apache httpd-2","mod_suexec","bugs","CLOSED","FIXED","suexec + userdir non-functional in httpd 2.0.35 (possibly related to bug 7791)","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,13,"2002-04-07 10:57:01","All","P3","colmmacc","Colm","critical","2.0.35","---",,
7811,"Apache httpd-2","All","bugs","CLOSED","FIXED","cannot start apache 2.0.35 (or 2.0.32) with any IPv6 addresses on Solaris 8","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,7,"2002-04-07 11:14:10","Solaris","P3","carl","Carl Brewer","blocker","2.0.35","---",,
7812,"Apache httpd-2","All","bugs","CLOSED","FIXED","Apache fails to start, log says: Invalid argument: Couldn't set permissions on cross-process lock","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,4,"2002-04-07 11:43:39","HP-UX","P3","ralf.hildebrandt","Ralf Hildebrandt","critical","2.0.35","---",,
7816,"Apache httpd-2","Build","bugs","CLOSED","INVALID","configure doesn't check for flex -P compatibility","2005-03-20 17:06:14",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-04-07 17:02:54","other","P3","anon2k","John Anon","minor","2.0.35","---",,
7818,"Apache httpd-2","Build","bugs","CLOSED","FIXED","Stale config.guess in tarball","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","Macintosh",,6,"2002-04-07 17:54:59","All","P3","sctemme","Sander Temme","normal","2.0.35","---",,
7820,"Apache httpd-2","mod_autoindex","bugs","CLOSED","FIXED","mod_autoindex extension to use style sheets","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,8,"2002-04-07 20:25:26","All","P3","binary_runner","Binary Runner","enhancement","2.0.32","---",,
7821,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","Insufficient file descriptors available for mass vhosting","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,4,"2002-04-07 20:54:19","other","P3","root","Dave Yadallee","blocker","2.0.35","---",,"http://www.nk.ca"
7822,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","small index.html.pt-BR fixes","2004-11-16 19:05:39",,"HTTP Server Documentation List","Other",,9,"2002-04-07 21:35:36","other","P3","andreas","Andreas Hasenack","minor","2.0.35","---",,
7823,"Apache httpd-2","All","bugs","CLOSED","WONTFIX","Libtool 1.3.4 in tarball","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-04-08 01:23:54","All","P3","sctemme","Sander Temme","normal","2.0.35","---",,
7824,"Apache httpd-2","Build","bugs","CLOSED","FIXED","libtool in tarball doesn't work with MacOS X","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","Macintosh",,5,"2002-04-08 01:40:08","All","P3","sctemme","Sander Temme","normal","2.0.35","---",,
7832,"Apache httpd-2","Documentation","docs","CLOSED","FIXED","missing colon in example","2004-11-16 19:05:39",,"HTTP Server Documentation List","All",,5,"2002-04-08 12:57:20","All","P3","sn","Sven Neuhaus","minor","2.0.35","---",,"http://httpd.apache.org/docs-2.0/mod/mod_include.html"
7838,"Apache httpd-2","Core","bugs","CLOSED","INVALID","Apache leaves shared memory segments and dies after unclean shutdown","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,10,"2002-04-08 14:17:58","All","P3","stas-apache","Stanislav Malyshev","major","2.0.35","---",,
7839,"Apache httpd-2","Build","bugs","CLOSED","DUPLICATE","failure to compile under solaris 8, gcc 2.95.3","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,7,"2002-04-08 14:29:59","Solaris","P3","david","david van zeebroeck","major","2.0.35","---",,
7840,"Apache httpd-2","support","bugs","CLOSED","FIXED","apachectl: wrong dir for the httpd binary","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,3,"2002-04-08 14:46:35","other","P3","andreas","Andreas Hasenack","minor","2.0.35","---",,
7841,"Apache httpd-2","All","bugs","CLOSED","FIXED","httpd.pid file placement in httpd-std.conf","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,3,"2002-04-08 14:49:53","Linux","P3","andreas","Andreas Hasenack","minor","2.0.35","---",,
7843,"Apache httpd-2","Runtime Config","bugs","CLOSED","WONTFIX","htdocs hardcoded in ssl-std.conf","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,3,"2002-04-08 15:03:29","Linux","P3","andreas","Andreas Hasenack","minor","2.0.35","---",,
7846,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","default index.html points to a wrong apache_pb.gif","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,3,"2002-04-08 16:29:10","Linux","P3","andreas","Andreas Hasenack","minor","2.0.35","---",,
7847,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","INVALID","Reverse proxy server caching 304 responses from origin server","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,4,"2002-04-08 18:11:56","FreeBSD","P3","Robert.Tovell","Robert Tovell","normal","1.3.24","---",,"http://www.dreo.dnd.ca   http://www.drdc-rddc.dnd.ca"
7862,"Apache httpd-2","support","bugs","RESOLVED","FIXED","suexec never log a group name.","2008-05-12 19:26:18",,"Apache HTTPD Bugs Mailing List","All","FixedInTrunk",10,"2002-04-09 11:19:53","All","P3","y-koga","y-koga@apache.or.jp","enhancement","2.0-HEAD","---",,
7867,"Apache httpd-2","All","bugs","CLOSED","INVALID","pthread_attr_getdetachstate() not recognized on Solaris 8","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,6,"2002-04-09 13:42:16","Solaris","P3","jgilbert","John Gilbertson","minor","2.0.35","---",,
7874,"Apache httpd-1.3","mod_proxy","bugs","CLOSED","DUPLICATE","mod_proxy not passing through all Set-Cookie fields","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,2,"2002-04-09 14:56:03","Solaris","P3","ITS","Radan IT Services","normal","1.3.24","---",,
7876,"Apache httpd-2","All","bugs","CLOSED","FIXED","configure for Solaris 5.7 fails","2007-02-17 08:11:52",,"Apache HTTPD Bugs Mailing List","Sun",,2,"2002-04-09 15:25:02","Solaris","P3","solomon","Marvin Solomon","blocker","2.0.35","---",,
7882,"Apache httpd-2","Build","bugs","CLOSED","FIXED","env LIBS ignored during build","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All","PatchAvailable",7,"2002-04-09 18:01:49","other","P3","David.D.Hill","David Hill","normal","2.0.43","---",,
7883,"Apache httpd-2","Build","bugs","CLOSED","INVALID","link errors compiling mod_access","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,3,"2002-04-09 18:04:13","All","P3","grant7","Grant K Rauscher","major","2.0.35","---",,
7888,"Apache httpd-2","Platform","bugs","CLOSED","INVALID","WinNT4 service requires explicit drive letter?","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,6,"2002-04-09 19:54:32","All","P3","pascal.barbedor","pascal barbedor","normal","2.0.35","---",,
7889,"Apache httpd-2","Build","bugs","CLOSED","WORKSFORME","pcre.c:2534: `pcre_default_tables' undeclared","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,6,"2002-04-09 19:58:42","Solaris","P3","jawarren","Jared Warren","critical","2.0.35","---",,
7896,"Apache httpd-2","All","bugs","CLOSED","INVALID","Report wrong port","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,5,"2002-04-09 22:29:13","All","P3","fdepujo","Chris de Pujo","normal","2.0.35","---",,
7907,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","ssssssssssssssssssssss","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","Other",,1,"2002-04-10 06:54:29","All","P3","gharesh","Haresh Gujarathi","normal","2.0.32","---",,
7908,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","asasasasasasasasas","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,1,"2002-04-10 07:08:33","other","P3","gharesh","Haresh Gujarathi","normal","2.0.32","---",,
7910,"Apache httpd-2","Platform","bugs","CLOSED","FIXED","WSADuplicateSocket on starting the server","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,14,"2002-04-10 08:01:04","All","P3","rbund","Ralf Bund","normal","2.0.35","---",,
7915,"Apache httpd-1.3","mod_autoindex","bugs","CLOSED","INVALID","strange substitutions in requests","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","All",,2,"2002-04-10 10:54:37","All","P3","mg","Marcin Gryszkalis","major","1.3.24","---",,
7917,"Apache httpd-1.3","Other mods","bugs","CLOSED","LATER","mod_auth_db patch for DB 4.xx","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,3,"2002-04-10 11:45:02","Linux","P3","preziosi","Paul Preziosi","enhancement","1.3.24","---",,"http://www.suvimax.org/"
7920,"Apache httpd-2","Other Modules","bugs","CLOSED","INVALID","mod_ssl can't compile under windows 20000","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-04-10 13:00:43","All","P3","egcs","SongDongsheng","critical","2.0.35","---",,
7921,"Apache httpd-2","All","bugs","CLOSED","WONTFIX","perchild: apr_proc_mutex_[un]lock failed...","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","PC",,12,"2002-04-10 13:09:14","Linux","P3","foobar","Foo Bar","major","2.0.35","---",,
7930,"Apache httpd-2","Platform","bugs","CLOSED","FIXED","Minor Bug w/ Apache Monitor in Sys Tray (v. 2.0)","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Other",,6,"2002-04-10 19:34:44","Windows XP","P3","michael","Michael","minor","2.0.35","---",,
7932,"Apache httpd-2","All","bugs","CLOSED","WORKSFORME","BSoD Attemping to Terminate Apache with ZoneAlarm Installed","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC","FAQ",69,"2002-04-10 20:07:05","All","P3","x86zman","Moran Zaltsman","blocker","2.0.48","---",,
7941,"Apache httpd-2","All","bugs","CLOSED","DUPLICATE","Running Apache as a service under Windows 2k","2005-03-20 17:06:12",,"Apache HTTPD Bugs Mailing List","PC",,2,"2002-04-11 00:26:53","All","P3","IceCreamMan","IceCreamMan","critical","2.0.35","---",,
7951,"Apache httpd-2","All","bugs","CLOSED","FIXED","logfiles have wrong timezone offset?","2004-11-16 19:05:39",,"Apache HTTPD Bugs Mailing List","Sun",,3,"2002-04-11 10:15:26","Solaris","P3","jjb","J.J.Bailey","minor","2.0.35","---",,
